,labels,Model Confidence Prediction,Model Thresholded Prediction,min,sec
240,0,2,0,6,18
241,0,2,0,6,18
242,0,3,0,6,18
243,0,1,0,6,18
244,0,0,0,6,18
245,0,0,0,6,18
246,0,0,0,6,18
247,0,0,0,6,18
248,0,0,0,6,18
249,0,0,0,6,18
250,0,0,0,6,18
251,0,0,0,6,18
252,0,0,0,6,18
253,0,0,0,6,18
254,0,0,0,6,18
255,0,0,0,6,18
256,0,0,0,6,19
257,0,0,0,6,19
258,0,0,0,6,19
259,0,0,0,6,19
260,0,0,0,6,19
261,0,0,0,6,19
262,0,0,0,6,19
263,0,0,0,6,19
264,0,0,0,6,19
265,0,0,0,6,19
266,0,0,0,6,19
267,0,0,0,6,19
268,0,0,0,6,19
269,0,0,0,6,19
270,0,0,0,6,19
271,0,0,0,6,19
272,0,0,0,6,19
273,0,0,0,6,19
274,0,0,0,6,20
275,0,0,0,6,20
276,0,0,0,6,20
277,0,0,0,6,20
278,0,0,0,6,20
279,0,0,0,6,20
280,0,0,0,6,20
281,0,0,0,6,20
282,0,0,0,6,20
283,0,0,0,6,20
284,0,0,0,6,20
285,0,0,0,6,20
286,0,0,0,6,20
287,0,0,0,6,20
288,0,0,0,6,20
289,0,0,0,6,20
290,0,0,0,6,20
291,0,0,0,6,21
292,0,0,0,6,21
293,0,0,0,6,21
294,0,0,0,6,21
295,0,0,0,6,21
296,0,0,0,6,21
297,0,0,0,6,21
298,0,0,0,6,21
299,0,0,0,6,21
300,0,0,0,6,21
301,0,0,0,6,21
302,0,0,0,6,21
303,0,0,0,6,21
304,0,0,0,6,21
305,0,0,0,6,21
306,0,0,0,6,21
307,0,0,0,6,21
308,0,0,0,6,22
309,0,0,0,6,22
310,0,0,0,6,22
311,0,0,0,6,22
312,0,0,0,6,22
313,0,0,0,6,22
314,0,0,0,6,22
315,0,0,0,6,22
316,0,0,0,6,22
317,0,0,0,6,22
318,0,0,0,6,22
319,0,0,0,6,22
320,0,0,0,6,22
321,0,0,0,6,22
322,0,0,0,6,22
323,0,0,0,6,22
324,0,0,0,6,22
325,0,0,0,6,23
326,0,0,0,6,23
327,0,0,0,6,23
328,0,0,0,6,23
329,0,0,0,6,23
330,0,1,0,6,23
331,0,2,0,6,23
332,0,6,0,6,23
333,0,13,0,6,23
334,0,26,0,6,23
335,0,35,0,6,23
336,1,42,0,6,23
337,1,45,1,6,23
338,1,62,1,6,23
339,1,71,1,6,23
340,1,74,1,6,23
341,1,74,1,6,23
342,1,75,1,6,23
343,1,80,1,6,24
344,1,86,1,6,24
345,1,91,1,6,24
346,1,93,1,6,24
347,1,93,1,6,24
348,1,92,1,6,24
349,1,93,1,6,24
350,1,92,1,6,24
351,1,91,1,6,24
352,1,90,1,6,24
353,1,89,1,6,24
354,1,89,1,6,24
355,0,85,1,6,24
356,0,79,1,6,24
357,0,30,0,6,24
358,0,2,0,6,24
359,0,1,0,6,24
360,0,4,0,6,25
361,0,5,0,6,25
362,0,1,0,6,25
363,0,0,0,6,25
364,0,0,0,6,25
365,0,0,0,6,25
366,0,0,0,6,25
367,0,0,0,6,25
368,0,0,0,6,25
369,0,0,0,6,25
370,0,0,0,6,25
371,0,0,0,6,25
372,0,0,0,6,25
373,0,0,0,6,25
374,0,0,0,6,25
375,0,0,0,6,25
376,0,0,0,6,25
377,0,0,0,6,25
378,0,0,0,6,26
379,0,0,0,6,26
380,0,0,0,6,26
381,0,0,0,6,26
382,0,0,0,6,26
383,0,0,0,6,26
384,0,0,0,6,26
385,0,0,0,6,26
386,0,0,0,6,26
387,0,0,0,6,26
388,0,0,0,6,26
389,0,0,0,6,26
390,0,0,0,6,26
391,0,0,0,6,26
392,0,0,0,6,26
393,0,0,0,6,26
394,0,0,0,6,26
395,0,0,0,6,27
396,0,0,0,6,27
397,0,0,0,6,27
398,0,0,0,6,27
399,0,0,0,6,27
400,0,0,0,6,27
401,0,0,0,6,27
402,0,0,0,6,27
403,0,0,0,6,27
404,0,0,0,6,27
405,0,0,0,6,27
406,0,0,0,6,27
407,0,0,0,6,27
408,0,0,0,6,27
409,0,0,0,6,27
410,0,0,0,6,27
411,0,0,0,6,27
412,0,0,0,6,27
413,0,0,0,6,28
414,0,0,0,6,28
415,0,0,0,6,28
416,0,0,0,6,28
417,0,0,0,6,28
418,0,0,0,6,28
419,0,0,0,6,28
420,0,0,0,6,28
421,0,0,0,6,28
422,0,0,0,6,28
423,0,0,0,6,28
424,0,0,0,6,28
425,0,0,0,6,28
426,0,0,0,6,28
427,0,0,0,6,28
428,0,0,0,6,28
429,0,0,0,6,28
430,0,0,0,6,29
431,0,0,0,6,29
432,0,0,0,6,29
433,0,0,0,6,29
434,0,0,0,6,29
435,0,0,0,6,29
436,0,0,0,6,29
437,0,0,0,6,29
438,0,0,0,6,29
439,0,0,0,6,29
440,0,0,0,6,29
441,0,0,0,6,29
442,0,0,0,6,29
443,0,0,0,6,29
444,1,0,0,6,29
445,1,5,0,6,29
446,1,21,0,6,29
447,1,49,1,6,30
448,1,70,1,6,30
449,1,77,1,6,30
450,1,81,1,6,30
451,1,84,1,6,30
452,1,85,1,6,30
453,1,82,1,6,30
454,1,78,1,6,30
455,1,76,1,6,30
456,1,76,1,6,30
457,1,75,1,6,30
458,1,68,1,6,30
459,1,66,1,6,30
460,1,66,1,6,30
461,0,62,1,6,30
462,0,55,1,6,30
463,0,37,0,6,30
464,0,20,0,6,30
465,0,18,0,6,31
466,0,24,0,6,31
467,0,24,0,6,31
468,0,15,0,6,31
469,0,5,0,6,31
470,0,1,0,6,31
471,0,0,0,6,31
472,0,0,0,6,31
473,0,0,0,6,31
474,0,0,0,6,31
475,0,0,0,6,31
476,0,0,0,6,31
477,0,0,0,6,31
478,0,0,0,6,31
479,0,0,0,6,31
480,0,0,0,6,31
481,0,0,0,6,31
482,0,0,0,6,32
483,0,0,0,6,32
484,0,0,0,6,32
485,0,0,0,6,32
486,0,0,0,6,32
487,0,0,0,6,32
488,0,0,0,6,32
489,0,0,0,6,32
